user_id,daily_active_minutes,posts_per_week,stories_per_week,avg_likes_received,avg_comments_received,profile_completeness_percent,friends_count,groups_joined,events_rsvp,pages_liked,ads_clicked_per_month,account_age_days,login_streak_days,device_type,country
USR000091,16.6,9.7,8.6,110.2,7.2,23.1,68,13,33,48,74,1800,90,Mobile,India
USR000092,53.8,7.7,0.8,4.5,8.5,57.9,58,4,50,257,96,3298,165,Desktop,Australia
USR000093,68.5,2.6,8.3,63.0,8.6,57.4,539,1,58,232,60,2733,300,Desktop,India
USR000094,99.8,0.8,16.3,12.9,9.9,64.0,268,7,23,439,87,2052,90,Mobile,USA
USR000095,49.2,1.3,2.4,35.4,10.8,49.5,418,25,8,57,87,549,121,Mobile,Japan
USR000096,106.7,1.4,18.0,34.8,2.6,28.0,410,37,64,273,54,3091,23,Mobile,Brazil
USR000097,158.5,3.9,5.2,54.6,0.2,51.8,475,5,50,145,96,1554,143,Mobile,Japan
USR000098,37.4,6.5,9.6,1.0,7.2,78.8,544,4,93,438,50,949,105,Mobile,India
USR000099,100.4,1.5,2.0,17.7,18.4,22.1,159,29,57,374,44,2556,107,Mobile,Japan
USR000100,35.8,11.8,3.6,78.6,2.0,41.0,212,27,57,319,67,798,313,Mobile,Australia
USR000101,40.1,1.9,3.8,7.8,17.2,49.4,1111,14,82,193,50,2255,300,Mobile,Germany
USR000102,26.8,0.7,1.1,185.4,6.5,26.4,224,10,78,146,45,1676,213,Mobile,Australia
USR000103,52.4,10.5,10.8,211.3,0.9,99.9,161,20,2,417,0,802,35,Mobile,Japan
USR000104,23.1,2.5,24.5,21.0,52.8,86.7,162,39,62,419,48,1517,131,Tablet,USA
USR000105,79.1,0.9,5.8,90.3,1.3,24.7,164,13,66,358,41,1239,93,Tablet,Germany
USR000106,134.6,3.0,9.0,56.7,23.3,28.4,57,3,18,376,46,1577,208,Mobile,USA
USR000107,21.0,1.1,18.1,47.1,10.8,98.5,131,15,11,202,96,2968,75,Desktop,Japan
USR000108,37.9,5.4,2.0,43.8,41.3,48.6,92,35,99,92,80,1202,66,Mobile,UK
USR000109,1.3,5.6,1.9,56.9,5.1,50.5,348,23,13,371,62,1489,76,Mobile,Australia
USR000110,44.8,4.5,2.5,15.9,18.7,55.8,1,8,21,200,74,1002,63,Mobile,India
USR000111,63.2,2.8,4.4,1.2,33.9,84.7,192,0,54,168,25,3057,29,Mobile,Japan
USR000112,72.8,3.3,2.1,40.8,1.7,41.3,40,3,42,252,82,816,163,Mobile,USA
USR000113,146.4,12.3,26.1,65.8,2.8,79.4,170,19,25,284,70,710,126,Desktop,Germany
USR000114,23.2,0.6,10.1,4.1,31.2,52.7,88,42,10,159,89,3034,208,Mobile,Australia
USR000115,141.8,1.9,6.9,5.0,17.7,95.5,99,12,22,180,73,3275,239,Mobile,USA
USR000116,19.9,0.9,0.4,31.1,0.3,43.3,50,23,77,321,4,3298,312,Desktop,India
USR000117,10.0,0.2,3.7,44.1,7.8,30.9,68,36,69,140,42,2547,215,Mobile,Australia
USR000118,22.2,3.4,4.5,65.8,1.1,61.7,108,14,92,451,5,3042,31,Mobile,India
USR000119,48.1,4.3,15.2,36.7,9.3,54.4,104,6,96,65,20,131,91,Mobile,Japan
USR000120,84.9,7.1,0.2,92.6,17.1,41.5,415,42,1,496,62,3300,60,Mobile,USA
USR000121,27.5,2.5,5.5,128.5,2.9,80.5,52,14,70,268,55,3052,256,Desktop,Japan
USR000122,233.7,1.4,5.0,63.4,6.1,94.7,96,23,50,436,38,336,329,Desktop,Australia
USR000123,5.0,4.7,3.4,132.7,10.0,54.3,127,39,95,325,62,818,23,Mobile,UK
USR000124,30.3,2.3,6.2,40.5,12.6,74.8,29,18,27,482,14,2844,80,Mobile,USA
USR000125,28.6,7.1,1.6,9.5,9.0,66.4,35,34,28,168,61,479,84,Mobile,USA
USR000126,65.3,4.4,2.3,5.3,10.4,49.4,326,33,59,239,96,2100,255,Mobile,Germany
USR000127,10.9,1.7,4.2,30.7,0.1,49.9,19,33,38,231,66,1091,294,Tablet,Australia
USR000128,34.3,5.9,3.1,66.0,6.4,20.5,232,25,64,42,70,3015,109,Mobile,Germany
USR000129,4.8,7.0,2.7,63.6,9.1,50.4,660,0,79,177,47,3579,7,Mobile,Australia
USR000130,204.6,7.8,8.2,21.9,3.5,66.8,24,30,84,167,75,2248,308,Mobile,India
USR000131,55.8,7.6,2.7,52.1,7.8,26.8,232,12,78,85,73,1621,52,Desktop,Japan
USR000132,6.7,16.7,0.3,46.9,1.1,57.2,12,27,23,468,39,1633,116,Mobile,Australia
USR000133,33.3,0.2,0.9,63.0,7.9,27.0,78,31,68,175,30,621,17,Mobile,Australia
USR000134,30.0,1.3,1.7,128.2,10.4,34.5,2,1,52,195,63,2247,280,Mobile,Australia
USR000135,7.6,1.6,9.8,5.2,5.6,26.5,672,49,15,73,80,2547,188,Mobile,Brazil
USR000136,30.3,16.3,6.3,177.3,15.8,80.1,289,46,67,106,37,222,132,Desktop,UK
USR000137,127.0,9.3,1.3,51.4,14.5,40.5,618,26,85,493,48,2374,146,Mobile,Japan
USR000138,5.4,3.4,13.5,34.0,9.3,89.1,111,33,99,250,81,2171,70,Mobile,India
USR000139,45.5,4.9,5.9,86.9,2.7,47.0,284,24,25,381,11,2948,364,Mobile,India
USR000140,9.8,6.0,12.6,59.5,4.7,99.5,112,39,2,262,72,1169,322,Desktop,Germany
USR000141,46.2,0.6,2.5,0.3,0.1,37.4,310,41,98,245,96,778,326,Mobile,Germany
USR000142,70.3,13.5,0.4,19.8,3.2,47.2,45,16,67,62,27,1743,215,Desktop,UK
USR000143,9.0,1.4,5.0,3.2,1.0,70.9,44,7,48,325,10,528,110,Mobile,India
USR000144,117.2,11.4,8.8,75.5,5.6,39.2,108,32,25,82,68,1862,281,Desktop,USA
USR000145,57.0,3.4,5.4,36.4,25.2,93.8,33,35,60,443,92,1464,135,Mobile,Brazil
USR000146,61.3,4.7,7.1,15.7,2.4,44.9,45,17,1,76,12,611,252,Mobile,India
USR000147,39.0,0.1,1.6,14.4,0.4,62.8,180,45,33,1,25,261,59,Mobile,Brazil
USR000148,143.5,0.6,3.5,124.8,2.1,46.9,199,17,46,111,42,1855,20,Mobile,Germany
USR000149,179.9,1.2,1.0,13.3,31.5,98.2,26,23,50,419,8,1269,161,Mobile,USA
USR000150,169.8,4.7,2.5,55.8,19.9,75.7,291,9,95,317,77,1672,350,Mobile,USA
USR000151,113.6,2.9,4.1,130.8,6.5,92.2,196,38,36,317,15,2502,309,Desktop,UK
USR000152,110.1,10.9,2.8,65.7,0.7,69.1,368,37,65,316,37,2220,25,Mobile,UK
USR000153,68.1,3.1,8.8,62.5,38.1,85.5,510,20,96,150,64,3212,70,Desktop,Brazil
USR000154,18.8,2.8,7.3,13.9,9.5,92.1,41,20,5,134,34,1246,45,Mobile,UK
USR000155,1.9,8.0,4.7,19.2,4.2,27.8,139,37,23,12,59,98,96,Tablet,USA
USR000156,8.3,13.5,1.8,19.6,10.8,50.9,182,4,74,331,14,1109,105,Mobile,Japan
USR000157,262.0,7.2,7.6,8.0,68.4,88.0,182,44,31,193,99,128,322,Mobile,India
USR000158,21.2,1.5,16.7,47.5,5.8,73.5,572,49,44,122,73,3070,250,Mobile,Germany
USR000159,51.0,2.0,1.0,28.9,11.6,38.7,92,44,61,26,73,1047,311,Mobile,India
USR000160,44.9,1.1,11.4,20.4,2.7,59.7,319,15,86,474,59,120,179,Mobile,Germany
USR000161,12.4,0.4,0.2,3.5,34.6,94.7,150,44,2,76,87,580,283,Mobile,Brazil
USR000162,79.1,3.2,2.1,37.9,1.4,92.5,429,9,30,164,85,2149,160,Mobile,Australia
USR000163,36.0,0.7,13.2,1.7,14.4,94.3,31,30,76,301,72,792,86,Tablet,Brazil
USR000164,19.3,3.1,0.5,36.5,5.7,94.0,220,44,86,133,25,2709,154,Mobile,USA
USR000165,1.2,3.4,7.4,23.8,8.9,94.3,70,48,49,251,85,3289,144,Desktop,Brazil
USR000166,8.0,3.4,0.1,28.9,5.3,22.8,697,0,49,251,33,2446,339,Mobile,Brazil
USR000167,121.0,5.4,11.6,16.9,2.1,94.7,84,31,10,265,85,3496,338,Tablet,Brazil
USR000168,152.5,2.1,7.5,73.5,31.0,26.0,69,23,47,112,57,2734,98,Mobile,Australia
USR000169,109.9,2.5,16.3,31.7,5.6,48.5,188,20,1,217,35,3042,123,Tablet,Japan
USR000170,28.9,7.8,11.4,31.0,3.6,56.1,474,21,61,125,52,1300,340,Desktop,India
USR000171,61.2,11.1,0.2,19.2,9.7,81.9,94,26,49,213,18,333,310,Desktop,Japan
USR000172,25.0,0.1,2.2,17.0,1.7,24.1,237,28,18,82,52,2184,141,Desktop,Germany
USR000173,56.5,3.5,1.4,27.8,1.2,93.6,378,49,86,117,39,949,240,Mobile,Japan
USR000174,191.5,7.3,14.8,94.2,70.7,93.9,157,43,60,334,20,821,309,Mobile,USA
USR000175,61.3,5.9,4.1,111.8,1.2,61.0,161,34,17,273,14,229,176,Mobile,USA
USR000176,18.7,2.3,6.7,1.0,12.3,73.4,258,32,94,180,5,2301,168,Desktop,Japan
USR000177,66.7,1.9,6.8,162.9,1.8,57.1,114,7,22,371,29,2107,85,Mobile,UK
USR000178,107.6,18.6,0.8,68.3,28.0,70.9,322,49,94,62,55,2376,12,Mobile,India
USR000179,6.7,1.1,13.6,120.8,23.3,62.6,428,45,36,287,44,575,311,Mobile,India
USR000180,80.6,0.2,9.9,20.4,2.8,93.8,231,41,40,424,51,821,222,Mobile,UK
USR000181,14.2,11.1,0.5,22.6,1.0,59.9,124,46,95,343,0,2417,63,Mobile,UK
USR000182,1.7,2.2,7.8,186.2,10.5,65.9,139,48,63,353,14,2188,239,Mobile,Australia
USR000183,98.2,8.8,2.2,79.4,0.2,36.2,109,36,84,131,65,1166,152,Mobile,Brazil
USR000184,123.6,8.3,0.1,8.8,15.1,92.7,77,15,71,201,68,1117,142,Mobile,USA
USR000185,169.4,5.4,4.0,7.2,3.7,27.7,168,15,50,86,76,1097,156,Tablet,Brazil
USR000186,42.9,13.7,4.6,59.8,4.6,34.9,6,4,56,201,37,391,186,Mobile,India
USR000187,96.9,9.2,1.1,55.3,6.8,73.3,18,9,37,115,50,1950,297,Mobile,UK
USR000188,3.1,5.8,0.3,62.1,0.7,66.4,405,15,3,62,76,728,303,Desktop,Germany
USR000189,1.0,0.9,1.1,13.0,3.5,37.0,221,39,95,389,27,850,364,Mobile,Australia
USR000190,45.3,7.1,36.7,10.9,11.4,96.3,143,43,20,29,78,204,223,Tablet,USA
USR000191,57.2,6.3,13.8,4.3,14.0,32.7,184,21,6,469,18,2745,349,Mobile,Japan
USR000192,18.5,28.6,6.9,72.4,0.3,99.7,684,28,37,74,86,3246,196,Mobile,UK
USR000193,81.3,2.9,1.8,5.6,1.1,44.6,77,41,77,338,65,1214,259,Mobile,USA
USR000194,3.4,4.0,12.7,27.7,3.0,35.7,15,18,31,377,98,2339,89,Desktop,USA
USR000195,38.2,0.6,0.7,228.2,4.3,30.1,75,18,0,177,20,531,46,Mobile,UK
USR000196,52.6,20.2,0.7,18.9,13.0,93.1,11,13,9,293,85,3209,21,Mobile,Japan
USR000197,89.9,0.9,2.5,42.9,1.7,29.5,119,0,47,271,41,1019,285,Mobile,Japan
USR000198,161.4,6.5,5.5,3.2,4.4,64.8,113,39,36,99,54,964,45,Desktop,USA
USR000199,1.9,2.0,4.4,50.9,4.8,80.0,196,35,80,251,25,2131,13,Mobile,USA
USR000200,66.5,2.4,5.0,68.4,41.0,47.4,212,46,6,245,84,1390,48,Mobile,India
USR000201,24.3,9.2,7.1,10.3,7.1,54.5,75,5,59,331,18,2083,278,Mobile,Germany
USR000202,6.4,3.6,5.1,104.5,2.0,33.8,364,1,49,213,73,2924,268,Mobile,Australia
USR000203,1.0,1.7,0.8,42.0,1.0,37.8,257,38,89,231,58,2296,263,Mobile,India
USR000204,43.0,2.3,0.4,14.0,6.5,30.5,163,20,36,111,37,2404,244,Desktop,Australia
USR000205,82.0,5.4,11.9,37.8,0.8,77.1,205,0,89,356,67,604,52,Desktop,Australia
USR000206,29.8,1.9,2.1,29.7,3.6,96.4,98,9,28,435,72,1770,267,Mobile,Japan
USR000207,7.8,2.5,7.2,23.9,4.6,42.3,14,15,21,474,3,2157,242,Desktop,Brazil
USR000208,136.1,0.1,11.6,65.0,38.8,85.7,385,2,20,343,66,2424,43,Mobile,Brazil
USR000209,70.6,0.3,4.0,35.4,0.2,70.2,539,13,87,385,84,252,70,Desktop,India
USR000210,276.3,0.6,4.4,27.0,11.6,40.7,105,39,29,271,92,2116,176,Mobile,UK
USR000211,8.6,15.7,7.9,65.4,13.0,48.5,48,37,6,175,39,159,23,Desktop,Japan
USR000212,6.5,1.0,0.5,36.3,3.4,94.4,60,2,68,182,90,603,75,Mobile,Germany
USR000213,24.9,0.4,10.5,25.3,6.3,37.8,167,15,37,490,85,556,277,Mobile,UK
USR000214,110.3,3.5,6.1,14.1,7.5,89.7,386,32,51,179,44,2403,93,Mobile,Brazil
USR000215,316.9,12.7,0.2,17.1,1.3,34.4,405,49,35,13,41,2797,22,Mobile,UK
USR000216,148.5,3.5,7.1,62.2,6.1,64.1,135,39,86,71,10,843,347,Mobile,UK
USR000217,16.9,5.3,0.7,155.0,4.5,58.9,627,36,8,447,69,2114,231,Mobile,Germany
USR000218,25.6,5.4,0.4,146.9,0.5,34.5,10,7,79,156,21,3449,291,Mobile,Germany
USR000219,7.7,4.8,5.1,39.7,7.5,64.5,190,26,41,196,96,3224,207,Mobile,India
USR000220,121.2,2.3,0.7,0.7,14.9,34.8,65,29,42,74,95,3405,5,Mobile,Brazil
USR000221,7.3,0.3,6.4,5.8,12.1,59.1,22,20,20,275,69,2470,322,Mobile,Germany
USR000222,59.9,2.8,3.1,54.6,12.3,49.6,22,39,68,90,40,2896,168,Desktop,Germany
USR000223,119.0,32.8,5.1,0.3,14.3,63.1,6,29,20,207,59,2871,131,Mobile,Brazil
USR000224,22.0,1.3,2.9,9.6,12.5,87.7,792,12,60,462,19,1305,280,Mobile,Germany
USR000225,44.6,0.1,1.2,36.7,11.3,31.0,172,43,83,474,75,2823,284,Mobile,USA
USR000226,206.2,2.5,1.5,29.7,11.1,42.3,348,10,91,322,63,2234,71,Mobile,Brazil
USR000227,2.1,11.9,7.6,1.2,20.3,38.7,185,39,32,306,30,1958,88,Desktop,India
USR000228,5.1,0.9,1.2,23.4,8.0,34.4,26,39,7,497,80,1332,145,Mobile,Germany
USR000229,30.3,13.7,11.3,37.5,1.0,24.8,168,33,13,47,39,1639,102,Desktop,India
USR000230,144.2,8.4,6.7,77.3,14.8,44.6,246,34,76,314,42,3277,320,Mobile,Japan
USR000231,42.8,3.0,5.6,1.0,4.0,21.9,396,34,41,147,61,608,189,Mobile,Japan
USR000232,23.3,2.0,5.8,9.4,5.5,27.6,303,1,22,193,74,2349,350,Mobile,Japan
USR000233,202.8,8.5,8.0,175.2,9.2,64.7,39,6,98,494,4,2359,37,Desktop,USA
USR000234,74.6,0.6,8.3,4.5,3.5,42.4,82,38,93,209,48,1588,324,Desktop,India
USR000235,46.3,10.2,14.0,138.5,5.6,30.6,43,35,56,64,72,1045,363,Desktop,Australia
USR000236,8.8,4.8,15.9,44.2,3.0,92.9,128,30,94,193,87,195,293,Desktop,Australia
USR000237,45.0,1.5,3.4,22.1,22.8,54.7,513,33,63,291,77,1463,103,Mobile,UK
USR000238,63.0,0.5,3.3,41.0,7.6,65.7,250,9,61,323,66,961,293,Mobile,Australia
USR000239,31.2,13.6,17.5,53.5,6.4,79.2,315,43,82,391,62,2504,289,Mobile,UK
USR000240,126.6,6.0,18.7,147.1,5.2,33.1,275,41,43,214,81,1430,172,Tablet,UK
USR000241,14.9,5.6,5.9,27.1,8.3,36.5,123,8,80,123,81,2386,303,Mobile,Australia
USR000242,17.9,6.2,11.2,27.3,1.6,74.9,163,14,99,228,57,657,220,Desktop,Brazil
USR000243,190.2,8.4,3.2,15.1,2.3,50.9,7,3,81,185,62,3071,287,Tablet,UK
USR000244,66.4,5.8,1.4,28.0,0.8,67.0,5,27,99,104,10,719,172,Tablet,India
USR000245,108.1,1.2,8.2,76.3,9.9,95.5,133,46,86,284,92,3119,168,Mobile,India
USR000246,92.3,3.3,7.6,75.7,1.8,85.4,90,3,0,499,5,220,351,Desktop,Japan
USR000247,23.9,1.9,4.1,126.8,2.4,58.9,237,34,86,311,98,2918,90,Mobile,Brazil
USR000248,41.0,5.5,0.9,18.2,1.8,98.3,188,19,64,319,70,1518,80,Desktop,India
USR000249,6.8,6.2,2.0,43.3,2.7,46.3,19,34,84,233,31,2875,156,Mobile,Australia
USR000250,38.4,1.3,9.2,27.0,17.0,68.1,3,29,68,16,83,1944,12,Mobile,India
USR000251,13.5,1.0,1.8,7.1,15.6,97.8,778,2,63,498,50,1824,67,Mobile,Brazil
USR000252,111.7,1.2,4.4,10.5,4.5,72.9,241,1,12,364,47,2215,70,Mobile,Germany
USR000253,42.3,10.6,1.0,5.7,9.0,88.7,43,24,52,265,14,2237,21,Mobile,UK
USR000254,3.8,0.7,11.1,6.8,14.5,36.1,285,30,19,74,76,3498,288,Mobile,Japan
USR000255,36.3,5.1,0.8,92.9,37.2,85.0,37,4,75,41,15,200,348,Mobile,USA
USR000256,6.7,2.9,2.0,39.5,10.3,95.6,234,48,23,59,70,2707,290,Desktop,India
USR000257,40.5,5.3,2.9,47.1,13.2,93.0,22,45,76,451,61,452,11,Mobile,Germany
USR000258,75.6,6.0,2.7,30.0,4.4,38.7,51,13,70,428,95,733,125,Tablet,UK
USR000259,170.9,2.3,2.0,27.8,6.4,76.1,6,20,18,158,74,2842,141,Mobile,USA
USR000260,19.1,2.9,5.0,24.1,6.4,69.3,202,38,8,148,37,1197,210,Mobile,USA
USR000261,19.2,4.6,12.3,44.9,4.7,33.1,20,40,22,414,36,1204,268,Tablet,USA
USR000262,60.1,0.7,23.5,18.5,0.8,49.1,93,43,60,201,2,1438,97,Mobile,USA
