temperature_celsius,rainfall_mm,soil_type,crop_variety,season,irrigation_type,region,fertilizer_kg_per_acre,sunlight_hours,crop_yield_ton_per_acre
17.69,801.14,Loamy,Barley,Kharif,Flood,Central,24.85,9.43,10.019
16.27,1276.73,Silty,Rice,Kharif,Sprinkler,Central,77.02,10.03,12.795
25.58,1225.46,Loamy,Rice,Rabi,Drip,West,147.42,9.5,12.612
22.23,943.06,Loamy,Maize,Kharif,Rainfed,South,39.37,5.17,7.452
35.88,345.34,Sandy,Maize,Rabi,Flood,South,100.1,8.93,8.989
30.94,326.22,Loamy,Barley,Rabi,Sprinkler,East,27.43,4.39,7.424
19.78,277.57,Sandy,Wheat,Kharif,Sprinkler,South,129.38,5.9,8.168
26.96,642.74,Loamy,Maize,Kharif,Sprinkler,East,133.55,5.35,9.761
35.12,1184.47,Sandy,Barley,Kharif,Rainfed,Central,173.83,6.36,12.433
38.26,1427.0,Silty,Rice,Kharif,Sprinkler,West,182.79,4.82,13.152
16.54,1448.79,Silty,Wheat,Kharif,Flood,East,195.12,4.65,14.29
26.93,401.13,Sandy,Sorghum,Rabi,Sprinkler,East,129.14,5.44,9.118
23.57,1360.62,Loamy,Wheat,Rabi,Rainfed,North,162.36,9.87,14.005
31.53,1300.1,Sandy,Maize,Rabi,Flood,Central,164.55,6.07,13.506
25.02,266.33,Loamy,Maize,Rabi,Drip,North,32.14,11.4,6.824
37.43,262.51,Sandy,Maize,Rabi,Flood,West,73.64,6.96,8.04
31.76,1162.8,Loamy,Sorghum,Zaid,Rainfed,South,126.34,9.51,13.521
15.61,230.09,Sandy,Sorghum,Zaid,Rainfed,North,77.99,11.8,9.136
18.79,245.46,Loamy,Wheat,Kharif,Flood,North,134.19,4.27,6.844
36.8,570.46,Silty,Barley,Rabi,Flood,East,126.92,9.39,8.946
18.32,601.63,Loamy,Barley,Rabi,Flood,East,183.5,4.07,9.962
32.82,441.28,Peaty,Rice,Zaid,Flood,South,99.66,4.03,7.855
27.66,1050.57,Clay,Maize,Rabi,Flood,North,140.03,6.87,11.534
39.13,1330.76,Silty,Wheat,Rabi,Flood,East,159.64,6.74,13.624
18.29,1451.86,Loamy,Rice,Kharif,Flood,Central,114.14,5.41,11.291
26.06,648.49,Loamy,Rice,Zaid,Rainfed,Central,159.31,7.38,12.687
22.93,1186.4,Loamy,Barley,Kharif,Flood,North,139.77,5.86,11.489
26.17,1189.23,Loamy,Rice,Rabi,Drip,South,92.11,10.67,12.661
22.11,564.7,Loamy,Sorghum,Kharif,Sprinkler,Central,199.87,7.18,10.102
37.56,550.64,Clay,Barley,Kharif,Flood,South,164.47,5.04,10.393
24.66,847.52,Clay,Barley,Kharif,Rainfed,Central,18.98,4.31,8.28
30.34,1159.39,Silty,Sorghum,Zaid,Sprinkler,South,186.71,4.53,10.789
29.26,521.79,Loamy,Maize,Rabi,Flood,North,135.75,5.33,8.066
33.48,1268.85,Loamy,Maize,Rabi,Sprinkler,East,54.51,10.77,10.926
35.88,1396.38,Peaty,Wheat,Kharif,Flood,West,20.18,8.61,12.462
20.14,1374.0,Loamy,Wheat,Rabi,Flood,North,15.15,9.07,10.808
23.62,647.35,Clay,Barley,Rabi,Flood,South,184.31,4.21,9.493
23.92,542.18,Sandy,Maize,Rabi,Flood,North,188.05,10.25,11.29
24.83,647.38,Loamy,Barley,Rabi,Rainfed,South,177.91,10.89,13.405
29.16,1279.06,Sandy,Rice,Rabi,Rainfed,Central,12.04,11.96,11.671
35.23,1051.96,Peaty,Wheat,Kharif,Drip,East,172.64,4.3,11.247
27.66,1273.25,Peaty,Wheat,Rabi,Flood,North,82.31,5.65,11.008
35.3,651.63,Silty,Sorghum,Rabi,Rainfed,North,86.57,4.46,11.1
28.27,554.55,Loamy,Barley,Rabi,Rainfed,Central,25.94,7.72,8.424
38.64,1201.48,Silty,Wheat,Kharif,Sprinkler,North,156.97,8.69,15.907
21.73,894.33,Clay,Rice,Zaid,Sprinkler,North,69.04,5.8,9.169
16.9,699.18,Sandy,Wheat,Rabi,Rainfed,West,54.04,7.54,7.457
24.23,899.63,Loamy,Rice,Kharif,Rainfed,West,81.37,11.07,10.655
31.82,576.55,Silty,Maize,Kharif,Sprinkler,East,95.27,7.45,8.572
33.15,1380.19,Loamy,Rice,Rabi,Sprinkler,Central,30.97,4.6,11.561
35.07,1374.71,Clay,Barley,Rabi,Drip,Central,34.99,7.44,10.853
27.17,967.43,Sandy,Wheat,Rabi,Sprinkler,West,100.69,4.54,10.204
32.23,1116.9,Sandy,Wheat,Kharif,Drip,Central,199.96,6.21,12.962
22.51,582.39,Sandy,Barley,Rabi,Sprinkler,East,22.25,11.23,9.27
34.12,367.16,Clay,Barley,Kharif,Drip,North,89.92,4.0,7.397
17.65,748.95,Loamy,Maize,Kharif,Flood,South,118.28,8.08,11.815
37.9,430.81,Loamy,Wheat,Zaid,Flood,West,70.7,10.78,9.771
34.08,1085.66,Silty,Maize,Zaid,Sprinkler,South,196.02,9.43,15.886
33.85,559.83,Silty,Wheat,Rabi,Flood,East,29.86,6.37,7.115
29.96,506.45,Loamy,Maize,Zaid,Sprinkler,Central,71.29,6.27,9.432
38.9,1269.59,Loamy,Rice,Zaid,Sprinkler,West,77.49,7.42,11.706
35.91,1061.59,Silty,Wheat,Rabi,Drip,East,22.07,8.01,10.64
28.13,1076.68,Silty,Barley,Rabi,Drip,East,78.59,6.8,10.925
34.84,790.39,Loamy,Sorghum,Rabi,Flood,South,66.06,10.86,11.113
17.63,1424.57,Silty,Wheat,Rabi,Flood,East,45.41,11.54,13.049
28.56,665.75,Peaty,Barley,Kharif,Flood,North,75.88,8.48,9.481
29.87,750.22,Clay,Wheat,Zaid,Rainfed,East,40.82,8.65,11.668
31.65,1477.4,Silty,Barley,Rabi,Sprinkler,West,133.56,6.9,14.008
31.53,888.03,Sandy,Barley,Kharif,Drip,Central,75.58,7.15,9.697
16.92,396.86,Loamy,Maize,Zaid,Flood,South,133.9,8.19,9.699
25.12,455.61,Silty,Barley,Rabi,Sprinkler,East,95.25,8.86,8.408
33.12,550.36,Silty,Sorghum,Kharif,Flood,East,151.5,7.55,11.061
28.96,946.02,Clay,Maize,Kharif,Rainfed,East,107.92,10.29,10.73
39.59,387.02,Loamy,Maize,Rabi,Sprinkler,South,136.44,9.35,10.64
36.55,898.07,Clay,Sorghum,Kharif,Drip,Central,21.74,11.02,10.951
39.3,240.7,Sandy,Rice,Kharif,Rainfed,South,17.08,7.83,7.202
33.07,514.73,Silty,Barley,Kharif,Rainfed,North,190.15,7.26,11.263
16.57,693.15,Loamy,Barley,Rabi,Sprinkler,East,119.05,6.56,9.693
29.21,1267.94,Loamy,Maize,Zaid,Sprinkler,Central,103.74,8.74,14.098
24.28,241.94,Silty,Maize,Zaid,Drip,North,101.36,9.31,8.082
31.96,1094.07,Silty,Wheat,Kharif,Drip,Central,60.94,11.33,12.828
16.48,627.86,Silty,Barley,Kharif,Drip,South,81.75,6.65,9.348
29.15,1100.27,Clay,Maize,Kharif,Drip,North,117.0,6.0,11.644
26.54,1385.21,Loamy,Rice,Rabi,Flood,East,107.96,6.97,13.227
23.18,474.99,Loamy,Wheat,Kharif,Sprinkler,South,100.61,4.38,8.136
28.91,1026.92,Clay,Barley,Zaid,Drip,Central,92.63,6.17,10.286
22.31,601.8,Loamy,Wheat,Kharif,Flood,North,23.69,6.87,6.193
17.52,973.22,Loamy,Maize,Rabi,Drip,East,120.99,11.04,11.639
17.52,468.53,Silty,Wheat,Zaid,Sprinkler,Central,75.58,11.49,9.631
38.51,498.99,Peaty,Sorghum,Rabi,Sprinkler,North,180.71,9.16,12.126
22.29,613.77,Clay,Barley,Rabi,Rainfed,North,146.89,10.56,11.001
23.8,773.45,Sandy,Rice,Rabi,Flood,South,122.43,8.89,9.281
23.77,286.15,Loamy,Maize,Rabi,Drip,Central,188.74,5.59,9.959
21.72,1236.91,Clay,Rice,Rabi,Flood,North,119.04,5.38,12.026
37.44,649.3,Sandy,Wheat,Rabi,Rainfed,East,38.3,10.08,8.279
34.57,959.36,Loamy,Rice,Rabi,Sprinkler,West,83.19,9.39,12.228
26.56,1053.86,Clay,Maize,Rabi,Drip,West,197.93,4.72,12.635
35.6,1357.47,Silty,Maize,Rabi,Rainfed,West,48.93,11.99,14.614
27.29,295.14,Silty,Sorghum,Zaid,Drip,East,102.56,6.69,8.492
23.98,1146.67,Clay,Rice,Kharif,Drip,North,194.92,7.03,12.488
22.76,442.01,Loamy,Maize,Rabi,Flood,East,33.63,8.73,8.633
31.96,574.74,Silty,Rice,Kharif,Sprinkler,East,60.73,4.56,6.466
38.0,705.2,Peaty,Barley,Rabi,Flood,West,198.27,5.14,12.389
33.4,1216.81,Sandy,Sorghum,Zaid,Sprinkler,Central,193.64,8.67,14.524
19.71,1156.54,Clay,Rice,Rabi,Drip,Central,15.79,10.06,9.547
17.49,522.37,Silty,Wheat,Kharif,Rainfed,North,148.8,8.35,11.181
25.65,447.08,Peaty,Rice,Zaid,Drip,North,138.22,8.14,9.514
18.13,1363.52,Clay,Barley,Kharif,Sprinkler,East,33.29,6.88,11.237
15.47,762.85,Loamy,Rice,Rabi,Drip,East,26.6,4.41,6.664
15.97,980.25,Silty,Sorghum,Rabi,Drip,Central,17.08,9.29,9.368
24.58,266.04,Silty,Barley,Kharif,Rainfed,West,49.6,10.63,7.017
15.01,1403.75,Clay,Wheat,Kharif,Flood,West,101.49,9.75,13.335
32.17,361.87,Loamy,Maize,Kharif,Flood,East,169.15,8.25,9.987
24.25,441.81,Silty,Barley,Zaid,Rainfed,West,91.21,5.29,7.77
28.55,579.07,Loamy,Sorghum,Kharif,Flood,East,89.38,5.55,9.189
38.65,211.27,Clay,Wheat,Rabi,Rainfed,West,177.89,4.69,9.314
34.39,620.81,Clay,Wheat,Rabi,Sprinkler,East,11.84,7.21,7.156
34.51,642.94,Sandy,Rice,Kharif,Rainfed,South,189.85,11.48,13.258
21.83,566.63,Silty,Maize,Kharif,Drip,North,32.58,10.79,8.991
23.81,1395.76,Clay,Rice,Kharif,Rainfed,West,157.52,10.08,14.234
24.19,1447.18,Clay,Sorghum,Rabi,Drip,East,22.45,9.15,13.182
23.76,294.95,Sandy,Wheat,Kharif,Sprinkler,North,182.79,10.17,10.053
33.7,549.17,Clay,Barley,Zaid,Drip,East,113.35,9.98,10.572
32.13,970.45,Clay,Barley,Zaid,Sprinkler,East,133.48,9.03,13.266
24.59,652.22,Clay,Wheat,Kharif,Flood,South,172.74,9.9,12.127
30.85,578.38,Loamy,Wheat,Kharif,Sprinkler,Central,84.25,8.2,10.661
36.03,205.98,Loamy,Maize,Rabi,Drip,Central,44.83,4.54,6.968
27.51,1011.09,Loamy,Wheat,Kharif,Drip,Central,42.11,4.55,9.521
15.5,1146.35,Clay,Wheat,Rabi,Rainfed,South,81.53,8.66,10.944
22.95,288.23,Sandy,Barley,Kharif,Flood,West,65.87,5.4,6.836
26.55,657.75,Loamy,Rice,Zaid,Drip,East,30.96,10.73,9.03
32.83,803.29,Peaty,Rice,Zaid,Drip,Central,24.04,10.68,10.6
19.12,1104.68,Peaty,Sorghum,Kharif,Sprinkler,Central,54.49,9.94,10.777
19.38,687.25,Sandy,Rice,Kharif,Flood,West,50.55,5.09,6.613
17.39,978.94,Clay,Wheat,Rabi,Flood,South,107.25,5.22,10.168
19.27,335.08,Silty,Rice,Kharif,Rainfed,West,29.25,4.07,4.272
36.33,1054.59,Peaty,Rice,Rabi,Flood,Central,142.31,6.74,11.431
32.34,304.56,Loamy,Barley,Zaid,Drip,Central,85.69,5.17,7.546
23.76,633.58,Silty,Barley,Zaid,Sprinkler,Central,47.54,9.86,8.786
35.98,928.02,Silty,Wheat,Kharif,Rainfed,East,85.3,5.93,11.585
24.35,404.22,Loamy,Rice,Kharif,Drip,West,11.1,4.91,6.008
32.19,219.25,Silty,Sorghum,Zaid,Sprinkler,Central,157.69,8.33,10.763
33.84,1251.45,Clay,Wheat,Rabi,Flood,East,40.99,7.72,11.631
30.49,727.66,Sandy,Wheat,Rabi,Flood,East,185.29,5.91,11.227
30.7,559.81,Sandy,Rice,Rabi,Flood,East,100.33,9.58,11.186
35.44,533.67,Clay,Sorghum,Rabi,Drip,West,192.02,8.06,12.169
25.79,1475.18,Peaty,Rice,Kharif,Drip,South,13.87,6.55,10.867
15.53,860.11,Clay,Maize,Kharif,Flood,South,100.62,8.95,10.77
20.74,988.6,Loamy,Wheat,Kharif,Flood,East,82.45,9.23,10.317
20.27,601.55,Clay,Wheat,Rabi,Sprinkler,South,149.77,10.26,11.545
32.93,782.75,Sandy,Rice,Rabi,Flood,North,108.62,8.4,11.504
22.85,206.28,Loamy,Rice,Kharif,Sprinkler,West,179.06,8.7,10.342
35.79,1134.89,Clay,Barley,Kharif,Drip,Central,113.58,7.24,12.511
37.03,1442.34,Loamy,Rice,Kharif,Drip,South,184.85,10.24,15.174
23.47,325.57,Loamy,Barley,Zaid,Flood,North,97.87,9.52,8.904
20.6,1206.86,Sandy,Sorghum,Kharif,Sprinkler,North,136.75,5.3,11.805
20.98,328.09,Silty,Wheat,Kharif,Sprinkler,South,53.26,11.65,8.771
39.74,1483.74,Clay,Barley,Zaid,Flood,West,179.97,11.59,15.968
29.69,742.5,Clay,Rice,Zaid,Sprinkler,East,29.51,10.36,10.5
34.62,1354.5,Sandy,Rice,Kharif,Drip,West,114.81,9.36,13.745
29.52,557.89,Sandy,Wheat,Rabi,Drip,Central,43.79,7.67,9.837
29.73,1409.04,Sandy,Maize,Kharif,Sprinkler,East,75.75,6.62,11.045
15.29,1047.22,Peaty,Barley,Kharif,Rainfed,East,139.84,9.09,11.93
18.87,1459.21,Silty,Rice,Kharif,Sprinkler,North,37.34,6.45,10.903
35.34,1037.99,Clay,Barley,Kharif,Flood,North,154.14,11.76,14.581
30.71,518.62,Sandy,Barley,Kharif,Flood,Central,178.42,10.01,11.507
29.88,396.12,Sandy,Rice,Zaid,Sprinkler,North,25.54,10.53,8.265
18.67,240.1,Loamy,Rice,Zaid,Sprinkler,East,100.88,9.47,8.104
28.93,1030.4,Sandy,Wheat,Zaid,Drip,East,31.84,6.58,10.048
32.44,469.44,Loamy,Sorghum,Kharif,Drip,West,124.35,8.04,10.476
15.36,385.7,Peaty,Rice,Zaid,Drip,East,133.82,11.6,8.411
17.09,951.89,Sandy,Maize,Rabi,Flood,East,69.21,9.25,10.139
29.23,226.08,Loamy,Rice,Kharif,Sprinkler,South,183.6,10.3,9.742
27.72,818.57,Loamy,Barley,Rabi,Flood,North,190.26,5.2,12.09
22.12,375.24,Silty,Rice,Kharif,Flood,South,92.19,11.57,7.875
30.96,1463.9,Clay,Barley,Rabi,Flood,North,197.46,7.2,14.721
38.77,331.5,Silty,Sorghum,Kharif,Sprinkler,South,101.71,6.24,9.445
34.57,935.78,Peaty,Barley,Zaid,Rainfed,West,147.79,6.97,12.048
37.25,906.77,Loamy,Rice,Zaid,Sprinkler,North,80.58,8.45,11.575
18.4,1358.47,Sandy,Rice,Zaid,Sprinkler,North,144.06,8.15,14.125
25.8,304.5,Loamy,Rice,Kharif,Sprinkler,North,77.6,6.84,6.654
28.35,338.57,Silty,Barley,Kharif,Rainfed,Central,73.08,6.3,8.57
34.36,607.02,Loamy,Maize,Rabi,Flood,West,151.03,5.2,9.162
35.98,1245.75,Clay,Rice,Zaid,Flood,Central,162.3,10.48,14.213
18.18,1078.56,Peaty,Rice,Rabi,Flood,East,38.35,7.79,9.712
22.41,344.01,Peaty,Wheat,Zaid,Sprinkler,West,185.21,10.99,10.342
19.79,584.83,Loamy,Barley,Rabi,Flood,South,51.99,5.87,7.423
15.29,1478.38,Loamy,Barley,Rabi,Drip,South,100.4,9.89,11.871
29.16,697.53,Clay,Rice,Rabi,Sprinkler,West,21.11,9.25,8.366
27.29,528.01,Peaty,Sorghum,Rabi,Flood,Central,157.38,4.59,9.639
22.61,696.97,Silty,Maize,Zaid,Flood,Central,154.66,6.59,9.346
20.64,1185.08,Loamy,Rice,Kharif,Sprinkler,South,49.7,7.64,10.399
16.01,461.44,Silty,Wheat,Kharif,Sprinkler,East,71.56,9.18,8.435
23.56,864.11,Clay,Rice,Rabi,Sprinkler,Central,10.89,8.54,9.026
28.69,558.0,Sandy,Barley,Kharif,Drip,Central,46.16,6.2,9.555
32.63,1071.81,Sandy,Barley,Kharif,Drip,North,23.44,7.14,9.276
37.94,910.51,Loamy,Sorghum,Rabi,Sprinkler,East,35.63,8.04,10.044
26.64,412.53,Clay,Wheat,Rabi,Sprinkler,West,133.34,9.86,8.232
24.84,689.35,Silty,Barley,Zaid,Rainfed,North,173.96,11.99,12.7
39.18,762.94,Loamy,Maize,Rabi,Rainfed,Central,12.29,6.85,7.313
38.62,931.71,Loamy,Sorghum,Rabi,Drip,South,128.73,8.38,11.075
35.52,386.31,Clay,Barley,Rabi,Drip,North,106.13,10.91,10.478
24.45,1453.54,Loamy,Maize,Kharif,Sprinkler,West,49.04,6.94,11.583
15.53,1398.38,Silty,Maize,Rabi,Drip,West,96.74,9.99,11.825
15.49,450.13,Loamy,Sorghum,Kharif,Sprinkler,Central,172.73,7.54,9.528
25.54,241.28,Sandy,Wheat,Rabi,Flood,West,14.91,9.04,7.509
35.32,1207.25,Silty,Wheat,Kharif,Sprinkler,South,22.59,9.94,9.955
27.67,384.23,Clay,Rice,Kharif,Drip,Central,169.65,9.85,10.927
15.3,1169.3,Silty,Rice,Kharif,Flood,West,193.2,9.28,14.251
35.42,1295.0,Loamy,Maize,Rabi,Sprinkler,East,88.09,5.89,11.621
16.88,868.32,Sandy,Maize,Rabi,Drip,West,111.18,4.09,8.54
19.12,1263.38,Loamy,Maize,Kharif,Flood,North,157.05,8.92,13.595
15.28,729.73,Loamy,Wheat,Rabi,Flood,Central,93.11,4.98,7.737
15.71,1267.78,Sandy,Barley,Rabi,Drip,West,38.96,11.09,12.171
30.72,1051.85,Silty,Wheat,Rabi,Flood,East,14.9,10.73,11.11
19.73,1155.19,Loamy,Wheat,Kharif,Rainfed,East,18.04,5.71,8.616
27.49,566.89,Silty,Barley,Zaid,Drip,Central,75.34,6.71,8.916
38.0,264.79,Silty,Wheat,Kharif,Drip,West,159.52,8.46,9.293
36.02,899.27,Clay,Rice,Kharif,Flood,East,70.49,6.16,10.397
27.9,866.31,Loamy,Rice,Rabi,Drip,North,136.14,9.36,12.467
20.97,1366.56,Sandy,Wheat,Kharif,Drip,North,29.32,9.84,10.966
15.44,1111.13,Silty,Maize,Zaid,Flood,South,162.38,9.22,12.929
37.27,1150.63,Loamy,Wheat,Kharif,Flood,East,196.28,10.96,15.895
22.93,1138.12,Loamy,Barley,Kharif,Flood,North,52.57,4.18,9.028
32.09,1226.04,Silty,Maize,Rabi,Flood,West,117.49,6.54,12.66
37.55,1203.38,Clay,Barley,Kharif,Sprinkler,North,32.56,7.34,10.264
36.84,606.29,Loamy,Sorghum,Rabi,Rainfed,East,79.46,10.58,9.744
30.63,1468.94,Sandy,Sorghum,Zaid,Sprinkler,Central,177.32,9.27,13.522
24.65,253.68,Clay,Maize,Zaid,Drip,Central,11.67,6.51,6.6
32.05,828.6,Silty,Barley,Kharif,Drip,Central,56.71,4.81,8.972
23.7,1471.69,Loamy,Rice,Kharif,Flood,Central,164.13,10.54,14.608
34.89,1272.17,Silty,Rice,Kharif,Flood,West,44.02,8.55,11.297
30.98,876.81,Loamy,Rice,Kharif,Drip,Central,145.18,6.7,11.563
17.62,429.97,Sandy,Rice,Rabi,Drip,South,141.15,5.12,7.882
21.36,529.57,Peaty,Rice,Rabi,Drip,North,25.17,5.49,7.485
28.55,708.73,Clay,Rice,Kharif,Drip,West,64.72,7.17,9.684
26.33,1009.75,Clay,Rice,Kharif,Flood,North,146.4,11.18,12.876
33.13,1072.99,Silty,Rice,Rabi,Sprinkler,Central,149.68,11.29,15.219
32.87,408.31,Sandy,Wheat,Rabi,Rainfed,South,107.18,4.6,9.111
36.09,924.56,Sandy,Barley,Rabi,Sprinkler,East,142.89,4.88,12.439
30.2,1396.32,Silty,Wheat,Kharif,Drip,South,82.38,10.9,14.18
38.13,500.44,Sandy,Wheat,Rabi,Sprinkler,West,192.78,4.39,10.079
32.17,1198.94,Silty,Wheat,Rabi,Flood,West,114.87,8.9,13.711
38.46,736.64,Loamy,Maize,Kharif,Flood,East,103.28,4.46,9.221
35.84,566.56,Sandy,Wheat,Kharif,Sprinkler,North,196.91,10.01,12.591
25.77,1097.89,Clay,Maize,Rabi,Drip,North,58.6,8.39,11.401
38.61,542.11,Sandy,Rice,Zaid,Drip,South,44.77,6.04,8.048
34.43,925.31,Peaty,Rice,Kharif,Sprinkler,West,168.49,10.38,13.499
37.71,1300.78,Loamy,Maize,Kharif,Rainfed,West,182.67,4.65,13.052
33.24,1155.35,Clay,Barley,Kharif,Sprinkler,East,158.73,6.11,13.083
16.56,333.13,Sandy,Wheat,Zaid,Flood,West,63.76,8.07,6.183
39.65,303.92,Silty,Maize,Kharif,Flood,Central,84.22,7.73,9.09
19.22,773.61,Clay,Wheat,Kharif,Rainfed,East,59.88,11.24,10.639
20.28,892.82,Silty,Sorghum,Zaid,Flood,West,47.81,5.51,8.237
19.71,702.56,Clay,Wheat,Kharif,Flood,West,174.68,6.6,9.779
29.07,1099.51,Peaty,Rice,Rabi,Drip,South,161.03,11.2,14.696
26.23,1450.22,Loamy,Rice,Kharif,Flood,South,97.04,11.94,12.677
34.24,1425.63,Clay,Rice,Kharif,Drip,South,90.72,8.83,13.172
32.41,249.77,Peaty,Barley,Kharif,Rainfed,South,162.28,11.45,10.534
39.7,1294.87,Sandy,Sorghum,Rabi,Rainfed,East,20.51,10.46,13.669
17.15,490.8,Silty,Wheat,Kharif,Flood,North,137.3,11.98,10.305
21.74,1122.08,Loamy,Wheat,Kharif,Sprinkler,South,83.58,8.46,11.051
38.08,1449.19,Clay,Wheat,Rabi,Flood,South,44.32,7.47,11.619
31.36,935.98,Clay,Rice,Kharif,Drip,South,163.49,9.74,11.821
21.73,1402.08,Clay,Wheat,Kharif,Rainfed,East,172.35,10.31,14.399
35.45,626.76,Clay,Rice,Rabi,Flood,West,193.61,11.92,13.244
27.04,390.49,Clay,Maize,Rabi,Drip,East,58.44,5.31,7.201
17.89,545.3,Clay,Wheat,Zaid,Sprinkler,South,26.61,4.51,6.783
17.27,566.78,Peaty,Rice,Zaid,Flood,South,125.44,6.08,7.759
35.38,702.01,Clay,Rice,Rabi,Flood,North,73.4,6.22,9.805
16.29,410.55,Loamy,Rice,Kharif,Rainfed,Central,128.06,4.43,8.789
26.78,1374.43,Clay,Maize,Rabi,Sprinkler,Central,186.22,10.37,14.5
23.67,252.35,Sandy,Wheat,Rabi,Sprinkler,North,12.37,10.34,6.339
32.8,842.12,Silty,Maize,Zaid,Flood,North,112.72,8.87,12.541
33.99,748.17,Peaty,Maize,Kharif,Sprinkler,West,153.96,5.03,10.773
22.39,1175.94,Loamy,Sorghum,Rabi,Sprinkler,North,188.1,10.9,15.029
23.21,778.35,Clay,Maize,Rabi,Sprinkler,Central,53.09,6.69,9.369
16.14,882.49,Peaty,Sorghum,Kharif,Flood,West,88.23,9.05,10.673
21.12,1185.69,Clay,Rice,Kharif,Rainfed,North,48.43,4.48,9.941
23.26,1350.93,Sandy,Barley,Kharif,Drip,North,137.51,11.3,15.378
17.58,1030.41,Loamy,Barley,Zaid,Flood,North,14.21,6.8,8.375
17.19,962.99,Silty,Rice,Rabi,Drip,West,98.62,8.33,11.053
22.14,1150.26,Silty,Wheat,Kharif,Flood,North,166.22,6.51,14.02
25.31,930.82,Loamy,Rice,Rabi,Flood,North,44.05,8.0,9.098
31.76,352.56,Sandy,Wheat,Zaid,Rainfed,Central,34.32,6.52,6.308
37.01,525.48,Silty,Rice,Kharif,Flood,North,91.98,11.77,10.264
27.44,981.1,Silty,Barley,Rabi,Flood,South,160.06,11.29,13.194
32.38,1308.84,Silty,Maize,Rabi,Rainfed,West,25.3,9.61,11.673
35.63,612.19,Silty,Maize,Rabi,Rainfed,Central,172.38,11.47,13.486
23.79,1165.69,Clay,Barley,Kharif,Drip,East,185.5,11.22,14.867
35.75,1282.43,Sandy,Barley,Zaid,Rainfed,North,154.31,7.56,14.471
23.87,401.5,Loamy,Barley,Kharif,Flood,North,129.09,9.9,8.94
38.56,1375.42,Loamy,Barley,Zaid,Drip,North,185.26,7.36,15.748
34.08,847.2,Silty,Rice,Rabi,Flood,East,149.99,11.31,13.424
22.05,845.95,Sandy,Rice,Rabi,Rainfed,Central,184.73,5.66,10.155
26.14,927.91,Loamy,Maize,Rabi,Flood,North,13.06,8.08,8.92
19.48,794.14,Sandy,Wheat,Kharif,Sprinkler,Central,153.17,8.53,12.065
18.5,1226.01,Silty,Wheat,Kharif,Drip,East,98.0,7.51,10.881
21.22,689.82,Clay,Wheat,Kharif,Rainfed,East,37.44,7.15,8.63
36.63,693.08,Loamy,Maize,Kharif,Flood,East,140.52,5.0,10.603
35.8,685.5,Clay,Sorghum,Kharif,Rainfed,North,129.32,4.18,10.64
36.12,774.75,Sandy,Maize,Kharif,Flood,North,118.85,8.2,10.355
16.29,1407.06,Peaty,Barley,Zaid,Drip,North,36.82,10.8,11.186
35.56,705.77,Sandy,Wheat,Kharif,Drip,North,127.9,9.23,10.266
21.13,358.98,Silty,Rice,Kharif,Drip,South,88.07,10.15,9.33
22.58,1351.03,Loamy,Maize,Kharif,Flood,East,75.14,9.07,12.415
