movie_id,budget_usd,marketing_spend_usd,runtime_minutes,num_screens,director_previous_hits,lead_actor_popularity_score,pre_release_imdb_score,release_month,sequel_flag,genre,language,age_rating,opening_weekend_screens,social_media_buzz_score,box_office_revenue_usd
MOV00023,31349564,17409087,80,2645,8,9.55,6.7,10,0,Drama,Hindi,G,2388,3.57,138204765
MOV00024,100052376,58145475,88,3732,8,1.5,6.0,2,0,Horror,Korean,R,2674,35.61,363784577
MOV00025,178077808,55908835,109,3977,6,6.6,4.4,10,0,Comedy,English,PG,2998,67.59,507003601
MOV00026,107406362,21345595,121,3528,6,4.74,5.9,4,0,Sci-Fi,English,PG-13,3267,45.5,283820143
MOV00027,107777086,44547429,132,1502,3,5.73,5.4,2,0,Sci-Fi,Hindi,R,1501,71.12,339207833
MOV00028,63250665,27981245,139,1282,6,4.36,8.7,3,0,Action,Hindi,G,1149,65.76,197328662
MOV00029,182009883,29616810,93,1076,9,5.27,8.6,1,0,Thriller,French,R,700,71.32,425086536
MOV00030,156716283,77298977,131,826,4,3.91,4.8,10,0,Action,Spanish,G,458,85.47,491273325
MOV00031,195438926,21308727,139,4490,10,2.06,8.0,3,0,Thriller,French,PG-13,3805,27.68,451551874
MOV00032,80757501,27567719,87,2790,9,3.72,6.5,7,0,Thriller,English,PG-13,2353,1.72,245595464
MOV00033,121716221,32316646,82,2027,4,7.03,8.8,11,1,Animation,Hindi,PG,1509,5.92,335729284
MOV00034,152079598,71500455,92,2914,0,1.45,5.5,8,1,Drama,Korean,G,2512,22.62,490619893
MOV00035,53286002,13661484,109,3321,1,4.44,4.5,6,1,Animation,English,G,1765,11.91,178107217
MOV00036,33049003,16967475,161,3271,8,1.38,8.4,1,1,Thriller,Hindi,PG,3261,29.24,156710370
MOV00037,62136438,24697789,100,1965,1,4.21,8.8,7,0,Drama,English,R,1458,60.65,200741284
MOV00038,197412659,98103565,179,3725,9,1.79,8.6,12,1,Comedy,French,PG-13,2918,76.86,655511567
MOV00039,129482111,76999168,112,2781,10,4.06,5.8,3,1,Drama,Hindi,R,2131,16.47,483740229
MOV00040,126683192,55687292,158,1151,11,8.54,4.2,9,1,Drama,Spanish,G,888,57.93,418578923
MOV00041,194466162,115216370,140,2880,1,6.52,4.8,11,0,Horror,Korean,PG-13,2566,89.78,684558005
MOV00042,196524628,22485987,100,994,14,7.14,9.1,2,1,Thriller,Hindi,PG,532,74.55,452770129
MOV00043,56831368,15291615,131,1638,8,5.53,6.0,9,1,Comedy,English,G,1572,16.36,188435956
MOV00044,11959014,1840810,174,2916,2,9.3,8.8,10,1,Action,Hindi,G,1958,64.66,83184256
MOV00045,57972561,13400500,99,1856,1,5.87,9.4,12,0,Romance,Spanish,PG-13,1508,48.37,159831501
MOV00046,49900483,25920503,104,1653,6,1.94,6.2,2,0,Comedy,Spanish,PG-13,874,25.81,171437796
MOV00047,21193880,2461915,156,4499,11,9.4,8.3,2,1,Thriller,Hindi,PG,3348,53.23,120263279
MOV00048,121826171,43868564,81,3749,8,2.2,4.9,12,1,Sci-Fi,French,G,3402,16.98,386797151
MOV00049,4385357,1682066,101,2642,10,9.99,6.1,4,0,Drama,Korean,PG,1734,32.32,64687203
MOV00050,45738553,17406976,85,3888,12,4.92,7.9,2,1,Romance,Korean,PG-13,2642,36.53,181650844
MOV00051,69574553,23491746,175,3454,5,1.66,5.1,7,1,Action,Spanish,G,2839,34.22,231538528
MOV00052,152063092,75317074,82,1624,11,8.78,5.8,3,1,Comedy,English,PG,868,10.06,511021565
MOV00053,187375041,31248825,85,1719,6,1.84,7.1,11,0,Romance,Spanish,G,1189,42.11,448035438
MOV00054,12392366,3163628,162,1301,12,2.57,7.8,4,1,Romance,French,G,1158,84.42,66038205
MOV00055,89883975,36660350,104,2542,12,4.76,6.0,1,1,Action,Spanish,G,2121,84.02,301172167
MOV00056,148697582,66241156,168,707,2,7.09,6.1,10,0,Thriller,French,PG-13,546,42.66,453427351
MOV00057,148405005,44829325,89,3154,10,2.09,4.6,4,1,Drama,French,PG,2500,2.25,431878431
MOV00058,69979792,37627128,130,972,2,6.6,9.4,4,0,Action,English,PG,609,58.4,250252928
MOV00059,38709731,11912791,109,2138,14,8.02,7.4,4,1,Action,Hindi,PG,2081,59.99,144485977
MOV00060,162156967,48872174,113,1531,7,2.11,6.9,11,1,Action,English,G,1528,85.79,446876470
MOV00061,24027075,2837684,98,635,6,6.83,5.2,9,0,Romance,English,PG,369,83.98,71052899
MOV00062,87191493,32746567,82,3157,4,9.63,6.7,3,1,Thriller,Hindi,PG,1698,77.71,299712829
MOV00063,88796277,40343737,117,3458,5,9.71,6.5,7,0,Romance,Hindi,G,2029,85.82,322886858
MOV00064,23335235,3668744,116,760,8,2.45,5.4,4,0,Sci-Fi,Hindi,PG-13,499,25.63,64891329
MOV00065,135489564,34240432,158,1670,2,7.84,6.5,11,0,Horror,English,R,1428,57.15,369413210
MOV00066,138802430,68100424,115,957,11,8.62,5.1,12,1,Comedy,Spanish,G,735,93.46,462301379
MOV00067,128924625,36480475,121,2428,2,9.0,7.9,1,1,Romance,Spanish,G,1281,53.54,369721294
MOV00068,108944665,24055116,100,2220,13,3.91,9.0,10,1,Action,English,PG-13,1668,89.02,306477319
MOV00069,53631083,23388533,126,4009,10,3.43,4.0,3,1,Sci-Fi,Hindi,G,3199,90.79,212946562
MOV00070,9585377,1901541,162,1936,5,1.43,7.1,9,1,Action,English,PG-13,1097,7.97,50934108
MOV00071,87544585,47959240,96,4071,10,4.6,8.0,10,1,Thriller,Spanish,G,2210,91.63,343508840
MOV00072,86157821,13164845,79,2779,7,2.12,9.0,12,0,Action,Hindi,PG,1972,11.02,224229102
MOV00073,153041741,69369980,89,2648,4,8.08,6.0,6,0,Thriller,English,G,2350,40.81,490266564
MOV00074,171819422,60098026,110,646,13,2.29,9.0,8,0,Animation,Spanish,R,376,75.44,477400452
MOV00075,61304654,32795830,175,1216,0,8.37,8.5,9,1,Horror,Hindi,R,686,8.0,235022840
MOV00076,112636935,18370807,137,1006,2,1.97,6.9,8,0,Sci-Fi,Hindi,G,925,40.14,265054285
MOV00077,35119117,15415447,167,3105,12,5.33,5.4,5,0,Romance,Korean,G,1950,24.23,148231276
MOV00078,37433622,14450400,153,2651,7,4.46,7.6,6,1,Horror,Hindi,R,1483,70.87,146316866
MOV00079,90482491,30768125,165,2883,3,6.41,5.4,10,1,Sci-Fi,Spanish,PG-13,2748,87.03,290066748
MOV00080,195249720,67498537,123,945,8,5.67,5.9,2,0,Comedy,Spanish,PG-13,653,76.98,543511467
MOV00081,102670589,47329958,129,3281,12,6.39,6.6,12,0,Comedy,French,R,2325,55.4,347637735
MOV00082,56105831,31916970,146,943,5,1.01,6.7,11,0,Thriller,Spanish,PG-13,928,84.5,194675300
MOV00083,138584340,20181459,134,617,9,2.15,5.0,9,0,Horror,Spanish,G,526,85.73,314874732
MOV00084,59743503,6556928,131,2040,3,5.65,7.8,6,0,Comedy,Spanish,PG-13,1949,50.08,154032704
MOV00085,92693393,46611094,103,1428,3,3.07,9.5,8,1,Action,Hindi,G,931,85.64,314343381
MOV00086,171476398,26421888,93,3270,9,1.69,5.3,7,0,Comedy,French,G,2626,89.32,405561936
MOV00087,70739572,41973211,169,1066,4,2.96,7.0,12,1,Animation,French,G,780,1.84,271738478
MOV00088,105157975,43080501,147,4102,12,8.02,6.5,10,1,Comedy,English,PG-13,4100,88.15,365028939
MOV00089,191066585,81286068,84,2436,6,5.88,5.7,2,1,Comedy,English,R,1809,6.49,612891201
MOV00090,120208152,23975017,175,587,13,2.71,6.3,2,0,Action,French,R,495,30.63,284259049
MOV00091,133862715,29470700,84,4330,11,1.14,8.0,5,1,Sci-Fi,French,PG-13,2601,55.88,369363249
MOV00092,192273147,82614993,171,2152,6,4.22,6.3,3,1,Animation,Hindi,PG-13,1227,25.19,598870353
MOV00093,184378299,102304773,163,975,12,4.22,6.8,1,0,Comedy,Spanish,G,535,87.7,612047154
MOV00094,112665644,66607396,131,2205,9,7.62,6.6,10,1,Comedy,French,R,1733,79.04,416754662
MOV00095,69394024,13810484,128,2008,6,9.27,7.1,11,0,Drama,Korean,PG,1881,48.94,209640808
MOV00096,199743196,33369060,130,4233,4,4.35,5.6,3,0,Romance,Hindi,PG-13,3965,83.89,484335836
MOV00097,173945196,22299892,142,794,11,7.19,6.8,7,0,Romance,English,G,424,81.94,391071433
MOV00098,52757120,28180136,143,1219,12,6.71,4.7,10,0,Drama,Hindi,PG,1093,33.61,194167325
MOV00099,68157848,16859349,161,1904,8,4.8,8.1,9,1,Romance,French,PG,1789,7.4,202938794
MOV00100,96540567,9741524,177,1494,1,1.59,4.6,11,0,Animation,Korean,PG-13,1350,59.63,209708446
MOV00101,86390464,18306920,129,1806,7,5.26,8.3,4,1,Sci-Fi,French,R,924,78.76,241302074
MOV00102,49170987,13287010,143,3391,9,4.19,8.5,8,1,Comedy,English,G,2891,92.78,169484473
MOV00103,187780295,111821867,146,1185,7,5.95,4.1,6,0,Comedy,Hindi,PG-13,812,4.67,643670620
MOV00104,24717335,8942009,155,3186,2,2.13,8.6,4,1,Sci-Fi,English,PG-13,2752,41.01,106949245
MOV00105,61472382,12439365,75,3727,4,7.52,7.6,3,0,Sci-Fi,French,R,2718,68.68,190068877
MOV00106,13719242,3668651,86,1703,13,8.09,4.5,5,1,Thriller,French,PG,1421,46.33,79979672
MOV00107,49715250,13182189,109,1460,7,4.5,9.5,3,1,Drama,Hindi,PG-13,929,23.19,167038042
MOV00108,84139152,9243768,152,1434,9,2.58,7.4,8,0,Thriller,French,PG-13,821,59.87,199285186
MOV00109,103400391,17329029,156,3437,12,6.61,6.2,11,0,Romance,Spanish,R,3302,87.9,279360057
MOV00110,179271906,80241787,148,3461,8,9.6,8.9,12,0,Romance,Hindi,PG-13,2974,94.51,573783734
MOV00111,173552610,27790197,153,3658,6,7.3,4.2,6,1,Thriller,English,PG,3554,99.27,450635530
MOV00112,92355424,19890323,107,905,3,2.11,7.9,11,1,Action,Korean,R,817,39.07,245622050
MOV00113,187659194,51675458,157,4407,3,4.57,4.8,6,1,Thriller,French,R,2708,21.08,525401462
MOV00114,50583876,24222972,172,4067,2,9.24,7.0,7,0,Sci-Fi,Korean,PG,3458,80.83,197868914
MOV00115,198421286,77622502,99,1790,10,6.71,4.5,12,0,Drama,English,PG-13,1396,69.12,586400092
MOV00116,112999993,50228496,90,2117,7,2.32,7.7,7,0,Thriller,Korean,PG,1351,75.6,349424803
MOV00117,172625499,66202942,82,1587,5,7.52,6.6,8,0,Romance,Hindi,PG,1480,37.03,508989838
MOV00118,162226952,71671252,109,618,9,4.18,4.0,5,1,Horror,English,R,549,23.1,503629477
MOV00119,52327755,5307137,159,2888,5,5.41,4.4,5,0,Action,Hindi,PG-13,1629,78.08,143921589
MOV00120,80018913,45246620,157,812,9,4.74,7.9,6,1,Drama,Hindi,R,637,45.07,296808316
MOV00121,142347872,22129416,120,662,9,7.53,6.2,4,1,Thriller,Korean,G,585,69.17,356515018
MOV00122,5545583,1681002,85,2028,8,2.96,7.7,2,1,Sci-Fi,Spanish,PG-13,1177,87.36,53682639
MOV00123,189296765,91907211,135,792,10,4.5,6.1,2,1,Animation,Hindi,G,788,35.1,606370885
MOV00124,55474455,17619538,118,1189,2,7.7,6.0,2,1,Horror,Hindi,R,953,77.01,190559533
MOV00125,176760164,101358038,85,1900,3,7.34,8.7,2,0,Romance,English,R,1768,45.85,610865741
MOV00126,181844642,60698736,85,2065,2,2.82,8.7,5,1,Horror,Spanish,PG,1596,62.19,520365023
MOV00127,124685547,67014703,96,3972,2,4.16,9.1,2,0,Sci-Fi,French,G,2599,83.0,443958223
MOV00128,54933927,27764378,159,1172,0,1.13,8.5,7,1,Thriller,Hindi,R,1075,30.57,189201679
MOV00129,107179285,63288633,165,3971,13,5.77,4.7,11,1,Sci-Fi,English,G,2873,84.01,412304172
MOV00130,53453338,30108869,156,898,9,3.53,4.4,4,0,Horror,Korean,R,710,21.34,179160613
MOV00131,150099456,82413895,136,3456,5,1.11,4.3,10,1,Action,English,PG,2722,42.84,519374110
MOV00132,35045666,16324347,122,3034,14,4.82,9.4,5,1,Horror,Spanish,PG-13,1606,28.26,154213482
MOV00133,147939822,41940802,178,4086,14,9.34,6.8,2,1,Sci-Fi,English,PG-13,2736,2.61,449096185
MOV00134,111573005,17077666,176,1547,8,9.31,4.6,12,1,Thriller,French,PG,1031,2.17,294117391
MOV00135,157396162,69934660,168,2442,4,4.35,7.0,1,0,Action,Korean,R,1274,20.34,497965379
MOV00136,47321408,27887785,137,3630,11,5.04,7.9,9,1,Romance,Korean,PG-13,2005,64.97,217009754
MOV00137,148014660,68575520,125,3296,11,3.18,4.5,6,1,Drama,Hindi,G,2589,52.99,482835763
MOV00138,91053374,51387308,119,739,11,1.61,5.9,5,1,Thriller,Spanish,G,488,32.55,315126239
MOV00139,27063245,13589872,107,2858,13,7.25,5.0,5,1,Comedy,Korean,R,2146,44.95,140227650
MOV00140,174660954,31710977,159,2868,9,8.2,9.4,2,0,Comedy,Korean,G,2127,67.9,435658457
MOV00141,98636744,22153998,134,1171,1,8.92,5.8,8,0,Thriller,French,PG,968,89.04,262003161
MOV00142,100483854,27224372,76,4052,9,9.42,7.8,4,0,Thriller,English,G,3747,26.65,297671042
MOV00143,110174313,20286420,87,3119,3,9.24,9.1,4,1,Comedy,French,PG,1913,88.14,307264342
MOV00144,8887739,3473556,140,4323,11,1.25,8.7,8,1,Drama,Spanish,PG-13,2943,41.65,87835907
MOV00145,195954700,115167527,131,2961,5,9.8,6.2,4,1,Romance,Spanish,PG,2305,34.14,702197419
MOV00146,62071026,29839368,117,3893,13,4.42,5.7,1,1,Drama,Korean,PG,3389,57.29,248185158
MOV00147,135987326,42386348,119,901,6,8.97,8.5,4,1,Horror,Hindi,PG,623,36.24,398819455
MOV00148,90178975,9221002,105,2606,11,4.97,5.1,10,1,Animation,English,PG,1648,29.79,233558811
MOV00149,50007334,12833782,84,552,12,4.8,7.9,1,1,Drama,English,G,462,90.09,150245299
MOV00150,163651376,59467578,97,1587,12,1.1,8.6,6,0,Drama,Spanish,R,1320,41.11,458519624
MOV00151,8971379,2351626,160,3180,6,1.47,8.7,2,1,Sci-Fi,French,G,2793,16.0,73410621
MOV00152,4331068,673556,103,1642,13,7.04,4.0,11,1,Drama,Korean,PG,1229,43.8,55818726
MOV00153,37810847,12151743,171,785,3,9.44,6.7,9,0,Sci-Fi,English,PG,422,29.63,121376408
MOV00154,35428803,8029102,105,2565,9,3.02,6.0,10,0,Horror,French,R,2037,51.73,113078258
MOV00155,140871965,78129872,152,1528,9,1.85,9.4,4,0,Comedy,French,G,1004,64.62,466215115
MOV00156,62553124,9437844,148,4408,4,2.92,7.0,11,0,Animation,Spanish,G,4403,2.53,178012535
MOV00157,181033766,22552519,92,3963,12,2.91,6.4,8,0,Thriller,Korean,G,3133,78.99,427206189
MOV00158,152968492,15703299,85,2428,3,3.64,5.3,11,0,Thriller,Korean,PG-13,1750,47.32,337680855
MOV00159,172116174,45444666,177,659,11,1.85,8.7,2,0,Action,Hindi,R,580,54.65,427156549
MOV00160,24841962,10686848,121,4459,9,3.12,5.8,5,0,Comedy,Korean,G,4410,14.61,114640393
MOV00161,67834972,31557295,77,641,5,9.29,8.5,12,0,Romance,Spanish,PG-13,478,44.28,225406500
MOV00162,178374243,58262529,76,896,10,9.01,8.9,11,0,Horror,French,R,596,49.73,501936736
MOV00163,23993420,10609034,128,1541,13,3.85,4.3,8,1,Action,English,PG-13,1141,5.06,113204684
MOV00164,63190751,17690694,146,3127,6,9.97,6.8,1,0,Comedy,French,R,2648,18.46,202253003
MOV00165,157188486,68204572,105,3685,1,3.69,6.3,6,0,Horror,English,PG-13,3082,37.36,492395477
MOV00166,171731194,20658917,82,1033,13,7.5,6.2,2,0,Horror,Hindi,G,901,18.76,398644570
MOV00167,32288562,9537282,117,2055,9,6.8,6.0,5,1,Sci-Fi,Hindi,R,1664,32.72,137717727
MOV00168,156569237,77568289,122,3458,11,1.58,6.9,1,1,Drama,Hindi,G,3379,87.97,524814184
MOV00169,24484187,12278893,76,2298,2,4.08,4.7,12,0,Sci-Fi,French,R,1568,62.84,103308923
MOV00170,196995197,90238454,96,3008,10,9.56,8.8,4,1,Sci-Fi,Spanish,G,1505,55.4,647563211
MOV00171,37093880,7497389,79,2133,7,1.46,7.1,3,0,Comedy,Korean,PG,1225,84.62,116914316
MOV00172,185658932,41513812,81,4188,6,2.57,5.9,10,0,Animation,English,R,2186,24.43,479158762
MOV00173,82752859,49489880,94,785,11,9.74,5.3,5,0,Horror,Spanish,R,452,97.63,304446710
MOV00174,133888171,20309363,166,1528,0,1.36,7.4,8,0,Thriller,Korean,R,928,22.72,305462932
MOV00175,179283859,34123338,151,2676,3,5.02,8.3,9,1,Drama,English,PG-13,1701,49.74,451827266
MOV00176,76415325,12609531,76,1455,4,9.27,6.4,5,0,Horror,French,G,745,96.41,199247690
MOV00177,36563453,9646443,106,1170,13,9.49,9.4,9,0,Action,English,G,749,34.03,128094320
MOV00178,169973642,34859540,164,4334,2,9.81,6.9,10,0,Comedy,French,G,2489,17.54,458790754
MOV00179,51873983,18095926,77,998,14,5.33,9.4,4,0,Sci-Fi,Korean,PG,541,41.32,158955640
MOV00180,91586459,30957171,115,2823,3,1.78,9.3,12,1,Drama,Spanish,PG,2231,24.06,290739635
MOV00181,189110296,104153026,116,1606,9,7.95,7.3,5,1,Animation,English,R,957,75.09,657689491
MOV00182,24637222,2891670,151,2355,9,7.38,7.2,11,0,Thriller,Korean,PG-13,1273,92.12,88762579
MOV00183,137702141,35794265,159,1641,13,6.22,4.6,9,1,Romance,Hindi,PG,967,85.82,385092846
MOV00184,96057280,38262395,119,2576,9,8.99,9.1,11,0,Drama,Spanish,G,2405,15.19,311794745
MOV00185,174667704,70286437,175,3552,6,9.2,8.4,9,1,Drama,Hindi,R,2716,95.15,563515929
MOV00186,98453338,33480348,161,3929,7,7.15,6.8,2,1,Action,Hindi,G,3014,73.83,319822586
MOV00187,3235000,1642839,145,3197,11,2.01,5.7,5,0,Sci-Fi,Spanish,G,2033,76.06,44464959
MOV00188,24685747,3242746,91,1680,8,1.86,8.6,8,1,Animation,English,PG,1273,55.44,91402025
MOV00189,173094412,87887628,166,2578,14,4.68,5.6,1,1,Drama,Korean,R,2237,37.97,579871296
MOV00190,30859174,10719770,121,3390,12,3.63,7.0,4,1,Horror,Spanish,PG-13,2706,25.96,129432279
MOV00191,171320581,28590038,168,2506,1,2.2,5.1,8,0,Animation,English,R,1925,47.59,400298680
MOV00192,47159303,25600472,143,1809,3,6.5,8.4,10,0,Romance,Spanish,PG,1233,80.69,171365693
MOV00193,147412954,62593661,98,2188,0,7.15,8.1,12,1,Romance,Spanish,PG,1783,31.79,470484673
MOV00194,183153864,33292398,145,835,2,7.28,5.6,2,0,Drama,English,R,775,89.1,441180749
MOV00195,149639396,17481601,108,1069,7,2.58,4.6,1,1,Romance,Hindi,PG,636,15.48,346700568
MOV00196,22200096,3786333,124,2860,6,3.75,5.0,12,0,Drama,French,G,2608,5.92,77102326
MOV00197,84375337,34121300,116,1098,14,2.79,7.4,6,0,Drama,English,PG,814,50.78,261180937
MOV00198,108868843,20646771,107,1646,14,6.41,4.8,6,0,Action,French,PG,1628,92.99,279266840
MOV00199,24234510,5159079,101,4274,7,6.1,5.8,1,1,Sci-Fi,French,PG-13,2696,83.73,129589406
MOV00200,186933626,21043092,152,1364,14,5.53,8.6,3,0,Horror,Spanish,G,748,14.66,416403158
MOV00201,46968757,21674453,133,2918,10,3.66,4.4,10,0,Romance,English,R,1693,14.92,170693261
MOV00202,135278815,68340449,93,1304,5,3.13,7.2,12,0,Animation,English,PG,664,10.45,436657521
MOV00203,81705119,40723799,176,813,4,9.01,6.2,8,0,Comedy,Hindi,G,555,78.95,273072166
MOV00204,67653416,11080552,150,527,11,1.44,4.7,9,0,Drama,French,PG,347,33.68,162411426
MOV00205,124850419,68873804,77,3726,11,6.91,6.8,12,0,Sci-Fi,Hindi,G,3052,34.0,438274223
MOV00206,11274621,4917306,145,3513,9,1.18,6.8,8,0,Action,Korean,PG-13,2042,92.59,65154996
MOV00207,148240432,81349058,173,1753,8,2.74,6.1,1,1,Horror,French,PG,1543,64.42,509538607
MOV00208,17816569,5765089,99,4120,4,3.61,4.3,11,1,Sci-Fi,Hindi,PG-13,2724,93.12,105462765
MOV00209,108147827,34442642,89,1529,8,8.98,5.1,4,0,Drama,Hindi,R,1434,24.69,312698380
MOV00210,8654909,4260536,157,3020,14,2.24,6.2,12,0,Animation,French,R,1786,74.44,68356654
MOV00211,38814054,5692039,134,2496,14,9.44,5.5,9,0,Sci-Fi,Hindi,PG-13,2243,10.28,124930892
MOV00212,107388866,38706922,157,1841,14,8.34,4.9,1,0,Action,Korean,PG-13,1091,66.84,331965126
MOV00213,100157604,51900880,97,1748,12,7.11,6.7,12,1,Comedy,English,G,891,43.68,365587404
MOV00214,150638768,77593469,85,3604,3,4.71,6.2,11,0,Action,Korean,G,1907,4.13,504057032
MOV00215,159428240,92160113,133,2636,11,9.15,7.7,4,0,Romance,French,PG-13,2392,9.36,575680508
MOV00216,73073914,32820147,159,3905,4,5.75,7.1,10,0,Romance,Spanish,R,2992,94.13,252996642
MOV00217,168997441,34456096,108,2587,0,4.34,4.9,7,0,Comedy,French,G,1709,78.69,418085741
MOV00218,12506305,1377446,177,1180,5,6.27,7.8,7,1,Drama,English,PG-13,968,80.28,65759734
MOV00219,155777819,52918955,81,874,2,3.09,6.6,7,1,Animation,Korean,R,601,4.18,442948304
MOV00220,142951830,51012636,118,3869,10,3.46,4.6,10,1,Horror,Hindi,G,3520,75.17,444990981
MOV00221,124035620,27304121,165,3545,14,9.27,4.1,4,0,Romance,Hindi,G,3099,3.68,343358309
MOV00222,140892447,22873708,138,2940,9,8.15,7.4,8,0,Action,Spanish,PG,2156,29.17,357853940
MOV00223,143875872,56558192,97,1541,1,5.62,7.4,3,0,Horror,Korean,R,779,50.29,427951388
MOV00224,41163712,19846171,176,2050,5,4.75,8.5,9,0,Action,Hindi,PG,1557,39.83,147452722
MOV00225,86447809,51572779,132,2679,0,8.27,8.2,6,0,Horror,French,PG-13,1852,14.96,325786880
MOV00226,133863028,64140645,94,2837,13,6.14,8.8,7,0,Animation,Hindi,PG,2260,98.34,445118146
MOV00227,45165849,22439125,101,2353,11,4.74,5.6,9,0,Comedy,English,G,1365,6.31,175818212
MOV00228,130693942,53353245,134,1305,8,5.64,6.3,4,1,Thriller,Korean,G,1086,68.66,408189158
MOV00229,79826934,47334284,82,2756,4,3.09,4.3,5,0,Sci-Fi,Hindi,G,1662,79.31,280585539
MOV00230,50905866,21379353,175,2874,6,2.82,6.3,1,0,Sci-Fi,Hindi,G,2845,28.52,164801764
MOV00231,175875390,93236230,141,3539,10,9.9,5.2,10,1,Comedy,English,PG,3218,41.29,618051160
MOV00232,141877636,81280608,76,3050,9,9.73,8.4,8,1,Comedy,Hindi,G,1801,9.31,518657716
MOV00233,32378291,18291443,96,778,8,4.79,7.6,2,1,Drama,Spanish,G,600,36.59,141184809
MOV00234,198238369,57629414,144,1905,8,5.64,8.3,5,1,Romance,Korean,G,1385,35.41,545984439
MOV00235,37634821,5243698,177,1287,12,8.44,7.3,5,1,Romance,Hindi,G,1165,3.96,127743195
MOV00236,103325205,19211963,178,3554,6,7.53,7.3,10,1,Action,French,PG-13,3091,27.14,299018829
MOV00237,154651082,20044582,110,1451,14,1.9,5.3,4,1,Horror,Hindi,R,940,92.83,366319247
MOV00238,17887294,2731362,98,1832,3,4.37,7.7,4,0,Comedy,Spanish,R,1249,68.01,63053456
MOV00239,120356143,23147570,86,4469,14,3.25,4.8,12,1,Horror,French,R,2368,2.46,333407725
MOV00240,98935968,26766844,155,776,3,9.93,5.5,2,0,Action,Spanish,PG,608,52.28,268233625
MOV00241,111456008,41435980,96,3647,6,7.74,5.0,3,1,Horror,English,R,3207,35.48,367974350
MOV00242,36562619,16666741,157,2845,7,1.43,9.2,10,0,Romance,French,R,2018,98.49,138700233
MOV00243,36213498,7440558,147,4396,6,9.1,8.9,2,1,Thriller,French,PG-13,4276,94.92,163798960
MOV00244,36703247,16012202,150,3949,10,9.35,8.8,1,1,Sci-Fi,Spanish,G,2245,68.96,179930675
MOV00245,176127900,79632625,170,932,13,4.0,9.3,4,0,Drama,Spanish,R,881,2.82,534852191
MOV00246,197962050,75089216,169,4430,13,6.78,7.4,9,0,Action,English,G,2262,15.56,604180205
MOV00247,122946771,67843126,155,1509,9,7.14,8.9,6,0,Action,French,G,1443,76.22,429078808
MOV00248,58805563,9144112,97,3683,3,7.57,5.6,8,1,Drama,French,G,2404,60.57,193260783
MOV00249,141621731,26704296,148,4349,3,7.24,6.1,2,1,Romance,French,PG-13,2413,24.06,382668492
MOV00250,72244178,22708686,137,1595,7,6.04,6.6,2,1,Romance,French,G,1586,11.71,239803370
